,Strategy
Start Period,2020-10-06
End Period,2023-12-04
Risk-Free Rate,0.0%
Time in Market,26.0%
Cumulative Return,-3.37%
CAGR﹪,-0.75%
Sharpe,-0.17
Prob. Sharpe Ratio,36.54%
Smart Sharpe,-0.17
Sortino,-0.24
Smart Sortino,-0.24
Sortino/√2,-0.17
Smart Sortino/√2,-0.17
Omega,0.94
Max Drawdown,-11.49%
Longest DD Days,537
Volatility (ann.),4.46%
Calmar,-0.06
Skew,-0.26
Kurtosis,13.45
Expected Daily,-0.0%
Expected Monthly,-0.09%
Expected Yearly,-0.85%
Kelly Criterion,-2.96%
Risk of Ruin,0.0%
Daily Value-at-Risk,-0.46%
Expected Shortfall (cVaR),-0.46%
Max Consecutive Wins,1
Max Consecutive Losses,1
Gain/Pain Ratio,-0.06
Gain/Pain (1M),-0.12
Payoff Ratio,1.04
Profit Factor,0.94
Common Sense Ratio,0.93
CPC Index,0.47
Tail Ratio,0.99
Outlier Win Ratio,19.39
Outlier Loss Ratio,2.45
MTD,0.11%
3M,-1.01%
6M,-4.49%
YTD,-8.9%
1Y,-9.09%
3Y (ann.),-0.3%
5Y (ann.),-0.75%
10Y (ann.),-0.75%
All-time (ann.),-0.75%
Best Day,1.65%
Worst Day,-1.97%
Best Month,4.17%
Worst Month,-4.51%
Best Year,8.25%
Worst Year,-8.9%
Avg. Drawdown,-2.5%
Avg. Drawdown Days,106
Recovery Factor,0.26
Ulcer Index,0.05
Serenity Index,-0.02
Avg. Up Month,1.3%
Avg. Down Month,-1.14%
Win Days,47.39%
Win Month,43.59%
Win Quarter,30.77%
Win Year,25.0%
Action Sell,472
Action Buy,518
Total Reward,-176.1999999999504
Total Profit,0.9680768605781834
Ticket,EURUSD1440
Model,A2C
